,category,title,writer,company,url
0,해외,미국 주식,한상회,한화투자증권,http://hkconsensus.hankyung.com/apps.analysis/analysis.downpdf?report_idx=617367
1,해외,한화 이글스 Daily,리서치센터,한화투자증권,http://hkconsensus.hankyung.com/apps.analysis/analysis.downpdf?report_idx=617366
2,산업,면세점업 투자 전략,이진협,한화투자증권,http://hkconsensus.hankyung.com/apps.analysis/analysis.downpdf?report_idx=617365
3,기업,DL이앤씨(375500) 위험을 수용하는 자세,송유림,한화투자증권,http://hkconsensus.hankyung.com/apps.analysis/analysis.downpdf?report_idx=617364
4,채권,유안타 채권 Daily,"유태인,이재형",유안타증권,http://hkconsensus.hankyung.com/apps.analysis/analysis.downpdf?report_idx=617363
5,시장,주식시장 투자전략,정원일,유안타증권,http://hkconsensus.hankyung.com/apps.analysis/analysis.downpdf?report_idx=617362
6,기업,삼성전기(009150) 삼춘가절(三春佳節),백길현,유안타증권,http://hkconsensus.hankyung.com/apps.analysis/analysis.downpdf?report_idx=617361
7,기타,주식시장 지표,조창민,유안타증권,http://hkconsensus.hankyung.com/apps.analysis/analysis.downpdf?report_idx=617360
8,기타,선물옵션시장 지표,정인지,유안타증권,http://hkconsensus.hankyung.com/apps.analysis/analysis.downpdf?report_idx=617359
9,기타,글로벌 시장 지표,고선영,유안타증권,http://hkconsensus.hankyung.com/apps.analysis/analysis.downpdf?report_idx=617358
10,기타,Yuanta morning snapshot,리서치센터,유안타증권,http://hkconsensus.hankyung.com/apps.analysis/analysis.downpdf?report_idx=617357
11,기업,SK이노베이션(096770) 배터리 흑자 전환 예상보다 늦어져!,황규원,유안타증권,http://hkconsensus.hankyung.com/apps.analysis/analysis.downpdf?report_idx=617356
12,기업,LG이노텍(011070) 삼동설한(三冬雪寒),백길현,유안타증권,http://hkconsensus.hankyung.com/apps.analysis/analysis.downpdf?report_idx=617355
13,산업,자동차-Daily Auto Check,김준성,메리츠증권,http://hkconsensus.hankyung.com/apps.analysis/analysis.downpdf?report_idx=617354
14,산업,음식료- F&B Morning Talk,김정욱,메리츠증권,http://hkconsensus.hankyung.com/apps.analysis/analysis.downpdf?report_idx=617353
15,산업,운송-meritz Transport Valuechain Daily,배기연,메리츠증권,http://hkconsensus.hankyung.com/apps.analysis/analysis.downpdf?report_idx=617352
16,시장,"2023년 이익 신뢰도 저하 국면: 高 수익성, 이익 상향 종목 유리",이정연,메리츠증권,http://hkconsensus.hankyung.com/apps.analysis/analysis.downpdf?report_idx=617351
17,시장,전략공감 2.0,리서치센터,메리츠증권,http://hkconsensus.hankyung.com/apps.analysis/analysis.downpdf?report_idx=617350
18,산업,반도체-Meritz Overnight Tech,김선우,메리츠증권,http://hkconsensus.hankyung.com/apps.analysis/analysis.downpdf?report_idx=617349
19,산업,금융-Meritz Financial Daily,조아해,메리츠증권,http://hkconsensus.hankyung.com/apps.analysis/analysis.downpdf?report_idx=617348
